Age,Family size and dependents,Income,Monthly expenses,Existing investments and assets,Debt obligations,Financial goals,Risk tolerance level,Predicted Investment Return,Investment Category
56.0,5.0,141041.0,1026.0,580178.0,19510.0,buying a house,medium,0.09696026049986996,stocks
69.0,4.0,146185.0,3160.0,410010.0,12120.0,retirement,,0.08180442782004625,bonds
46.0,5.0,40350.0,2672.0,567176.0,99847.0,education,medium,0.00768095237854936,
32.0,4.0,130859.0,779.0,147821.0,98575.0,buying a house,medium,0.1118254628029159,
60.0,2.0,98487.0,3464.0,,391413.0,education,low,0.07579980500038204,real estate
25.0,3.0,178694.0,4477.0,912084.0,267439.0,vacation,medium,0.09715636121853446,mutual funds
38.0,4.0,153853.0,3169.0,817040.0,20460.0,buying a house,low,0.0753959707463303,stocks
56.0,6.0,83117.0,3393.0,353130.0,14963.0,education,medium,0.07377169834836839,mutual funds
36.0,1.0,131084.0,2251.0,996715.0,339260.0,education,low,,real estate
40.0,6.0,53782.0,4481.0,356140.0,481038.0,buying a house,medium,0.04180705727117234,mutual funds
28.0,6.0,58454.0,2861.0,590305.0,27328.0,vacation,low,0.023827903791593368,stocks
,1.0,97904.0,4927.0,507163.0,346773.0,buying a house,medium,0.029349944343801365,stocks
41.0,6.0,159936.0,4631.0,67676.0,124034.0,retirement,medium,0.14594660706304574,
,4.0,176664.0,,545848.0,21605.0,retirement,medium,0.022967016865829765,bonds
57.0,,183245.0,,457617.0,373045.0,vacation,low,0.04039056364578115,bonds
41.0,4.0,194276.0,3395.0,60468.0,175885.0,education,high,0.08858844866078774,mutual funds
20.0,1.0,196668.0,3276.0,697823.0,177443.0,education,medium,,stocks
39.0,6.0,195396.0,1619.0,959167.0,108241.0,education,medium,0.02309611946157436,stocks
19.0,1.0,152258.0,3488.0,996210.0,309742.0,buying a house,low,0.11905761386778184,real estate
41.0,4.0,141668.0,4759.0,461989.0,191848.0,buying a house,medium,0.11778043018692375,real estate
61.0,6.0,154184.0,4743.0,829555.0,254289.0,vacation,medium,0.03559765563058366,stocks
47.0,6.0,191822.0,694.0,628634.0,334402.0,retirement,medium,0.04329994540131907,real estate
55.0,5.0,46566.0,1162.0,675078.0,303113.0,education,medium,,bonds
19.0,5.0,168262.0,979.0,727997.0,167984.0,retirement,high,0.1238507168969217,bonds
38.0,2.0,68333.0,4718.0,796460.0,169446.0,buying a house,high,0.10466955495937857,mutual funds
,3.0,151929.0,1923.0,989874.0,203374.0,buying a house,medium,0.012334983226590079,real estate
29.0,5.0,119571.0,3208.0,57599.0,62784.0,buying a house,medium,0.06273961213538636,mutual funds
39.0,1.0,150263.0,3675.0,158469.0,443098.0,retirement,medium,0.08389528081152405,real estate
